e24,,lower limit,upper limit,color
Overview,,,,
,DNA1,4585,47160,0000FF
,SOX10,2620,11790,FF0000
,CD3e,655,4585,00FF00
,panCK,0,7205,FFFFFF
,CD163,1310,3275,FF00FF
Lymphoid,,,,
,CD8a,1310,7205,FF00FF
,CD4,1310,7869,00FF00
,SOX10,1310,11135,FF0000
,FOXP3,1310,7205,FFFFFF
,CD20,900,36443,00FFFF
,panCK,0,7205,808080
,DNA1,0,58950,0000FF
Myeloid-1,,,,
,CD163,1310,3275,FF00FF
,SOX10,1310,11135,FF0000
,CD206,3275,14410,00FF00
,panCK,0,7205,808080
,DNA1,2620,65500,0000FF
,CD68,400,1310,FFA500
Structural,,,,
,DNA1,2620,65500,0000FF
,SOX10,1310,11135,FF0000
,panCK,0,7205,808080
,aSMA,1310,3930,00FF00
,CD31,2620,6550,FF00FF
,KRT14,0,12445,00FFFF
,Vim,0,42575,FFA500
Tumor,,,,
,DNA1,2620,65500,0000FF
,SOX10,1310,11135,FF0000
,panCK,0,7205,808080
,MART1,655,39955,FFA500
,MITF,1310,2620,00FFFF
,SOX9,633,1965,00FF00
Proliferation,,,,
,DNA1,2620,65500,0000FF
,SOX10,1310,11135,FF0000
,panCK,0,7205,808080
,Ki67_2,200,2620,FF00FF
,PCNA,655,1500,FFFF00
,pH3,0,28820,00FFFF
Myeloid-2,,,,
,DNA1,2620,65500,0000FF
,SOX10,1310,11135,FF0000
,panCK,0,7205,808080
,CD11c,2620,54365,00FF00
,CD1c,3930,12445,FFFF00
,CD16,1310,2620,00FFFF
,CD14,655,4585,FF00FF
Immune Checkpoint,,,,
,DNA1,2620,65500,0000FF
,SOX10,1310,11135,FF0000
,panCK,0,7205,808080
,PD1,1965,4585,00FF00
,CD8a,1310,7205,FF00FF
,LAG3,600,1310,00FFFF
,TIM3,3275,6550,FFFF00
Antigen Presentation,,,,
,DNA1,2620,65500,0000FF
,SOX10,1310,11135,FF0000
,panCK,0,7205,808080
,HLA-A/B,1965,3275,00FFFF
,HLA-DPB1,1965,6550,FFFF00
,CD11c,2620,58960,FF00FF
,CD206,3275,20305,00FF00
