e41,,lower limit,upper limit,color,,cycle,marker_name
Overview,,,,,,1,DNA1
,DNA1,3930,18000,0000FF,,1,5hmC
,SOX10,1310,11790,FF0000,,1,Tet2
,CD3e,800,1965,00FF00,,1,SOX10
,panCK,0,3275,FFFFFF,,2,DNA2
Epigenetic,,,,,,2,LaminA/C/B1
,SOX10,1310,11790,0000FF,,2,GATA3
,5hmC,655,2620,00FF00,,2,PMEL
,Tet2,800,2620,FF0000,,3,DNA3
,CD3e,1310,2620,FFFFFF,,3,SOX9
,panCK,0,1965,FF00FF,,3,S100B
,DNA1,1965,55000,363639,,3,MART1
,SOX10,1310,11790,0000FF,,3,aSMA
Tumor-1,,,,,,4,DNA4
,PMEL,0,55675,00FF00,,4,MITF
,S100B,2620,4585,FF0000,,4,CD63
,CD11c,1310,11135,FFA900,,4,p21
,panCK,0,3300,FF00FF,,4,panCK
,DNA1,1965,55000,363639,,5,DNA5
Tumor-2,,,,,,5,ECAD
,SOX10,1310,11790,0000FF,,5,pSTAT1
,NGFR,655,1965,00FF00,,5,MCM2
,MART1,655,8515,FF0000,,5,S100A1
,SOX9,1695,5240,FFFF00,,6,DNA6
,panCK,0,3300,FFFFFF,,6,Ki67
,CD11c,1310,11135,FFA900,,6,pSTAT3
,DNA1,1965,55000,363639,,6,PD1
Tumor-3,,,,,,6,pH3
,SOX10,1310,11790,0000FF,,7,DNA7
,CD63,655,3275,00FF00,,7,PRAME
,ECAD,1310,4585,FF0000,,7,IRF5
,panCK,0,3300,FFFFFF,,7,IRF1
,CD11c,1310,11135,FFA900,,7,B2M
,DNA1,1965,55000,363639,,8,DNA8
Structure,,,,,,8,MX1
,SOX10,1310,11790,FF0000,,8,CD11c
,VIM,655,3275,0000FF,,8,NGFR
,panCK,1310,4585,FFFFFF,,8,CK14
,aSMA,0,3300,00FF00,,9,DNA9
,DNA1,1965,55000,363639,,9,LDH
Proliferation-1,,,,,,9,pERK
,SOX10,1310,11790,0000FF,,9,BCL2
,p21,655,3275,00FF00,,9,VIM
,MCM2,1310,4585,FF0000,,10,DNA10
,pH3,0,3300,00FFFF,,10,CD3e
,panCK,0,3275,FFFFFF,,10,SOX2
,DNA1,1965,55000,363639,,10,MCL1
Immune Activation-1,,,,,,10,pS6
,IRF1,1310,11790,FF0000,,11,DNA11
,IRF5,655,3275,00FF00,,11,CCND1
,DNA1,1965,55000,363639,,11,CCNA2
,SOX10,1310,11790,0000FF,,11,PDL1
,panCK,0,3275,FFFFFF,,11,PCNA
Cell Signaling,,,,,,12,DNA12
,pS6,1310,250,FF0000,,12,p16/CDKN2A
,SOX10,1310,11790,0000FF,,12,SOX6
,pERK,655,1965,00FF00,,12,HIF1a
,DNA1,1965,55000,363639,,12,H3k27me3
,panCK,0,3275,FFFFFF,,,
Tumor-4,,,,,,,
,SOX10,1310,11790,0000FF,,,
,BCL2,100,7205,00FF00,,,
,PRAME,800,4585,00FFFF,,,
,VIM,655,3300,FF0000,,,
,panCK,0,3275,FFFFFF,,,
,DNA1,1965,55000,363639,,,
Proliferation-2,,,,,,,
,DNA1,1965,55000,363639,,,
,KI67,1310,6550,FF0000,,,
,PCNA,300,800,00FF00,,,
,panCK,0,3275,FFFFFF,,,
,SOX10,1310,11790,0000FF,,,
Immune Activation-2,,,,,,,
,DNA1,1965,55000,363639,,,
,SOX10,1310,11790,0000FF,,,
,panCK,0,3275,FFFFFF,,,
,pSTAT1,300,1965,00FF00,,,
,pSTAT3,655,4585,FF0000,,,
