p135_e9,,lower limit,upper limit,color,,cycle,marker_name
Overview,,,,,,1,DNA1
,DNA1,1965,55000,0000FF,,1,5hmc
,SOX10,898,6284,FF0000,,1,Langerin
,CD3e,299,2620,00FF00,,1,SOX10
,panCK,655,4000,FFFFFF,,2,DNA2
Tumor-1,,,,,,2,GZMB
,PRAME,800,4585,00FF00,,2,CD3E
,S100A1,262,4585,FF0000,,2,CD1c
,CD11c,598,5985,FFA900,,2,CK14
,panCK,655,4000,FF00FF,,3,DNA3
,DNA1,1965,55000,363639,,3,CD8a
Tumor-2,,,,,,3,FOXP3
,SOX10,898,6284,0000FF,,3,MART1
,NGFR,655,4000,00FF00,,3,aSMA
,MART1,655,30000,FF0000,,4,DNA4
,SOX9,1000,5240,FFFF00,,4,CD163
,panCK,655,4000,FFFFFF,,4,Ki67
,CD11c,300,1310,FFA900,,4,PD1
,DNA1,1965,55000,363639,,4,pH3
Structure,,,,,,5,DNA5
,SOX10,898,6284,FF0000,,5,CD20
,VIM,655,7392,0000FF,,5,CD11c
,panCK,655,4000,FFFFFF,,5,PDL1
,aSMA,0,1496,00FF00,,5,PCNA
,DNA1,1965,55000,363639,,6,DNA6
Proliferation,,,,,,6,SOX9
,DNA1,1965,55000,363639,,6,LAG3
,KI67,299,3000,FF0000,,6,NGFR
,PCNA,300,800,00FF00,,6,B2M
,panCK,655,4000,FFFFFF,,7,DNA7
,SOX10,898,6284,0000FF,,7,CD4
Immune Activation -1,,,,,,7,CD206
,IRF1,1310,11790,FF0000,,7,CD16
,CD3e,299,2620,00FF00,,7,S100A1
,CD8A,500,3275,FFA900,,8,DNA8
,SOX10,898,6284,0000FF,,8,MITF
,panCK,655,4000,FFFFFF,,8,CD66b
Lymphoid Activation-1,,,,,,8,CD31
,CD103,1310,250,FF0000,,8,HLA/ABC
,CD8A,898,5000,0000FF,,9,DNA9
,TCF1/TCF7,400,2100,00FF00,,9,LaminB1
,DNA1,1965,55000,363639,,9,CDKN1A
,panCK,655,4000,FFFFFF,,9,TIM3
Lymphoid Activation-2,,,,,,9,panCK
,TIM3,500,2000,FF0000,,10,DNA10
,CD8A,655,3275,0000FF,,10,PRAME
,LAG3,178,1200,00FF00,,10,CD19
,DNA1,1300,55000,363639,,10,L1CAM
,panCK,655,4000,FFFFFF,,10,VIM
,,,,,,11,DNA11
,,,,,,11,HLA/DRB1
,,,,,,11,COX4
,,,,,,11,IRF1
,,,,,,11,MCT
,,,,,,12,DNA12
,,,,,,12,TCF1/TCF7
,,,,,,12,CD68
,,,,,,12,CD103
,,,,,,12,LDHA
,,,,,,13,DNA13
,,,,,,13,CCND1
,,,,,,13,TOMM20
,,,,,,13,PDPN
,,,,,,13,H3K27Me3
,,,,,,14,DNA14
,,,,,,14,CDKN2A
,,,,,,14,ICOS
,,,,,,14,MCM2
,,,,,,14,MPO
,,,,,,15,DNA15
,,,,,,15,CPT1A
,,,,,,15,SOX6
Immune Activation-2,,,,,,15,CD134
,DNA1,1965,55000,363639,,15,GAPDH
,SOX10,898,6284,0000FF,,,
,CK14,598,7000,FFFFFF,,,
,pSTAT1,300,1965,00FF00,,,
,CD103,655,4585,FF0000,,,
